[18:32:22] CPU: 0.00% | RAM: 5266.824/6086.824 MB | DISK: 50000/100000 MB
[18:32:29] CPU: 56.32% | RAM: 5335.824/6086.824 MB | DISK: 50000/100000 MB
[18:32:35] CPU: 40.17% | RAM: 5340.824/6086.824 MB | DISK: 50000/100000 MB
[18:37:21] CPU: 0.00% | RAM: 5251.824/6086.824 MB | DISK: 50000/100000 MB
[18:37:29] CPU: 11.82% | RAM: 5260.824/6086.824 MB | DISK: 50000/100000 MB
[18:37:36] CPU: 13.20% | RAM: 5261.824/6086.824 MB | DISK: 50000/100000 MB
[18:37:42] CPU: 9.27% | RAM: 5258.824/6086.824 MB | DISK: 50000/100000 MB
[18:44:52] CPU: 0.00% | RAM: 5288.824/6086.824 MB | DISK: 50000/100000 MB
[18:44:59] CPU: 44.72% | RAM: 5083.824/6086.824 MB | DISK: 50000/100000 MB
[18:45:05] CPU: 26.87% | RAM: 5192.824/6086.824 MB | DISK: 50000/100000 MB
[18:45:10] CPU: 85.73% | RAM: 5421.824/6086.824 MB | DISK: 50000/100000 MB
[18:45:16] CPU: 94.47% | RAM: 5507.824/6086.824 MB | DISK: 50000/100000 MB
[18:45:22] CPU: 99.86% | RAM: 5496.824/6086.824 MB | DISK: 50000/100000 MB
[18:45:27] CPU: 100.00% | RAM: 5489.824/6086.824 MB | DISK: 50000/100000 MB
[18:45:33] CPU: 95.70% | RAM: 5437.824/6086.824 MB | DISK: 50000/100000 MB
[18:45:38] CPU: 100.00% | RAM: 5478.824/6086.824 MB | DISK: 50000/100000 MB
[18:45:44] CPU: 98.54% | RAM: 5471.824/6086.824 MB | DISK: 50000/100000 MB
[18:45:49] CPU: 92.87% | RAM: 4591.824/6086.824 MB | DISK: 50000/100000 MB
[18:45:55] CPU: 29.78% | RAM: 4573.824/6086.824 MB | DISK: 50000/100000 MB
[18:46:00] CPU: 16.94% | RAM: 4595.824/6086.824 MB | DISK: 50000/100000 MB
[18:46:06] CPU: 15.45% | RAM: 4608.824/6086.824 MB | DISK: 50000/100000 MB
[18:46:11] CPU: 17.49% | RAM: 4674.824/6086.824 MB | DISK: 50000/100000 MB
[18:46:17] CPU: 19.02% | RAM: 4693.824/6086.824 MB | DISK: 50000/100000 MB
[18:46:22] CPU: 25.39% | RAM: 4794.824/6086.824 MB | DISK: 50000/100000 MB
[18:46:28] CPU: 16.06% | RAM: 4818.824/6086.824 MB | DISK: 50000/100000 MB
[18:46:33] CPU: 19.74% | RAM: 4829.824/6086.824 MB | DISK: 50000/100000 MB
[18:46:39] CPU: 18.98% | RAM: 4818.824/6086.824 MB | DISK: 50000/100000 MB
[18:46:44] CPU: 25.04% | RAM: 4667.824/6086.824 MB | DISK: 50000/100000 MB
[18:46:50] CPU: 35.63% | RAM: 4637.824/6086.824 MB | DISK: 50000/100000 MB
[18:46:55] CPU: 42.02% | RAM: 4703.824/6086.824 MB | DISK: 50000/100000 MB
[18:47:02] CPU: 81.40% | RAM: 5148.824/6086.824 MB | DISK: 50000/100000 MB
[18:47:08] CPU: 90.19% | RAM: 5318.824/6086.824 MB | DISK: 50000/100000 MB
[18:47:13] CPU: 100.00% | RAM: 5405.824/6086.824 MB | DISK: 50000/100000 MB
[18:47:19] CPU: 96.53% | RAM: 5451.824/6086.824 MB | DISK: 50000/100000 MB
[18:47:24] CPU: 73.60% | RAM: 5479.824/6086.824 MB | DISK: 50000/100000 MB
[18:47:30] CPU: 67.04% | RAM: 5512.824/6086.824 MB | DISK: 50000/100000 MB
[18:47:35] CPU: 90.33% | RAM: 5600.824/6086.824 MB | DISK: 50000/100000 MB
[18:47:41] CPU: 77.12% | RAM: 5548.824/6086.824 MB | DISK: 50000/100000 MB
[18:47:46] CPU: 90.06% | RAM: 5550.824/6086.824 MB | DISK: 50000/100000 MB
[18:47:52] CPU: 83.46% | RAM: 5570.824/6086.824 MB | DISK: 50000/100000 MB
[18:47:58] CPU: 68.67% | RAM: 5530.824/6086.824 MB | DISK: 50000/100000 MB
[18:48:03] CPU: 74.66% | RAM: 5413.824/6086.824 MB | DISK: 50000/100000 MB
[18:48:09] CPU: 64.34% | RAM: 5443.824/6086.824 MB | DISK: 50000/100000 MB
[18:48:14] CPU: 86.46% | RAM: 5503.824/6086.824 MB | DISK: 50000/100000 MB
[18:48:19] CPU: 64.77% | RAM: 5387.824/6086.824 MB | DISK: 50000/100000 MB
[18:48:25] CPU: 79.13% | RAM: 5227.824/6086.824 MB | DISK: 50000/100000 MB
[18:48:30] CPU: 61.88% | RAM: 5295.824/6086.824 MB | DISK: 50000/100000 MB
[18:48:36] CPU: 70.50% | RAM: 5276.824/6086.824 MB | DISK: 50000/100000 MB
[18:48:41] CPU: 81.13% | RAM: 5291.824/6086.824 MB | DISK: 50000/100000 MB
[18:48:47] CPU: 83.65% | RAM: 5302.824/6086.824 MB | DISK: 50000/100000 MB
[18:48:52] CPU: 81.02% | RAM: 5308.824/6086.824 MB | DISK: 50000/100000 MB
[18:48:58] CPU: 87.36% | RAM: 5323.824/6086.824 MB | DISK: 50000/100000 MB
[18:49:04] CPU: 95.08% | RAM: 5352.824/6086.824 MB | DISK: 50000/100000 MB
[18:49:10] CPU: 95.13% | RAM: 5362.824/6086.824 MB | DISK: 50000/100000 MB
[18:49:15] CPU: 96.94% | RAM: 5420.824/6086.824 MB | DISK: 50000/100000 MB
[18:49:21] CPU: 98.47% | RAM: 5459.824/6086.824 MB | DISK: 50000/100000 MB
[18:49:27] CPU: 99.24% | RAM: 5500.824/6086.824 MB | DISK: 50000/100000 MB
